Farm,Livestock_Production_heads_per_year,Annual_Rainfall_mm,Fertilizer_Use_kg_per_ha,Crop_Price_USD_per_ton
1,45,620,90,180
2,50,640,95,185
3,52,660,100,190
4,55,680,105,195
5,58,700,110,200
6,60,720,115,205
7,62,740,120,210
8,65,760,125,215
9,68,780,130,220
10,70,800,135,225
11,72,820,140,230
12,75,840,145,235
13,78,860,150,240
14,80,880,155,245
15,82,900,160,250
16,85,920,165,255
17,88,940,170,260
18,90,960,175,265
19,92,980,180,270
20,95,1000,185,275
21,98,1020,190,280
22,100,1040,195,285
23,105,1060,200,290
24,110,1080,205,295
25,120,1100,210,300
26,125,1120,215,305
27,130,1140,220,310
28,135,1160,225,315
29,140,1180,230,320
30,145,1200,235,325
31,150,1220,240,330
32,155,1240,245,335
33,160,1260,250,340
34,165,1280,255,345
35,170,1300,260,350
36,175,1320,265,355
37,180,1340,270,360
38,185,1360,275,365
39,190,1380,280,370
40,195,1400,285,375
41,200,1420,290,380
42,205,1440,295,385
43,210,1460,300,390
44,215,1480,305,395
45,220,1500,310,400
46,225,1520,315,405
47,230,1540,320,410
48,235,1560,325,415
49,240,1580,330,420
50,250,1600,335,430
